ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION,,,,Pop Exist?,KML Districts,Refine
24027,Gatineau,Gatineau,107464,,TRUE,165,165,Markham--Thornhill,
24028,Hochelaga,Hochelaga,106496,,TRUE,214,214,Thornhill,
24029,Honoré-Mercier,Honoré-Mercier,103592,,TRUE,219,219,Toronto--Danforth,
24030,Hull--Aylmer,Hull--Aylmer,105419,,TRUE,218,#N/A,Toronto-Centre,
24031,Joliette,Joliette,104136,,TRUE,223,223,Wellington--Halton Hills,
24032,Jonquière,Jonquière,89818,,TRUE,38,38,Avignon--La Mitis--Matane--Matapédia,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,106336,,TRUE,42,42,Bellechasse--Les Etchemins--Lévis,
24034,La Prairie,La Prairie,105496,,TRUE,39,39,Beauce,
24035,Lac-Saint-Jean,Lac-Saint-Jean,104911,,TRUE,40,40,Beauport--Limoilou,
24036,Lac-Saint-Louis,Lac-Saint-Louis,108579,,TRUE,41,41,Bécancour--Nicolet--Saurel,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,106766,,TRUE,48,48,Brome--Missisquoi,
24038,Laurentides--Labelle,Laurentides--Labelle,113815,,TRUE,49,49,Brossard--Saint-Lambert,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,111835,,TRUE,50,50,Rimouski-Neigette--Témiscouata--Les Basques,
24040,Laval--Les Îles,Laval--Les Îles,108003,,FALSE,#N/A,#N/A,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne,106583,,TRUE,53,53,Châteauguay--Lacolle,
24042,Lévis--Lotbinière,Lévis--Lotbinière,113528,,TRUE,54,54,Chicoutimi--Le Fjord,
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert,108703,,TRUE,57,57,Drummond,
24044,Louis-Hébert,Louis-Hébert,103346,,TRUE,166,166,Markham--Unionville,
24045,Louis-Saint-Laurent,Louis-Saint-Laurent,117238,,TRUE,167,167,Milton,
24046,Manicouagan,Manicouagan,92518,,TRUE,221,221,Vaughan--Woodbridge,
24047,Mégantic--L'Érable,Mégantic--L'Érable,87233,,TRUE,220,220,University--Rosedale,
24048,Mirabel,Mirabel,117652,,TRUE,222,222,Waterloo,
24049,Montarville,Montarville,97811,,TRUE,51,51,Charlesbourg--Haute-Saint-Charles,
24050,Montcalm,Montcalm,107981,,TRUE,56,56,Dorval--Lachine--LaSalle,
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,95527,,TRUE,129,#N/A,Don Valley-Est,
24052,Mount Royal,Mont-Royal,103320,,TRUE,130,#N/A,Don Valley-Nord,
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,104974,,TRUE,168,#N/A,Mississauga-Centre,
24054,Outremont,Outremont,102088,,TRUE,169,#N/A,Mississauga-Est--Cooksville,
24055,Papineau,Papineau,110750,,TRUE,170,170,Mississauga--Erin Mills,
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,108587,,TRUE,224,224,Whitby,
24057,Pontiac,Pontiac,115531,,TRUE,226,226,Windsor--Tecumseh,
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,115313,,TRUE,225,225,Willowdale,
24059,Québec,Québec,97143,,TRUE,106,106,Vaudreuil--Soulanges,
24060,Repentigny,Repentigny,116066,,TRUE,311,311,Nanaimo--Ladysmith,
24061,Richmond--Arthabaska,Richmond--Arthabaska,107242,,TRUE,330,330,North Island--Powell River,
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,102346,,TRUE,131,#N/A,Don Valley-Ouest,
24063,Rivière-du-Nord,Rivière-du-Nord,112156,,TRUE,132,132,Dufferin--Caledon,
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,110677,,TRUE,133,133,Durham,
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,101750,,TRUE,135,135,Elgin--Middlesex--London,
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,102693,,TRUE,140,140,Flamborough--Glanbrook,
24067,Saint-Jean,Saint-Jean,111190,,TRUE,141,141,Glengarry--Prescott--Russell,
24068,Saint-Laurent,Saint-Laurent,98828,,TRUE,182,182,Oakville,
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,113212,,TRUE,201,201,Sarnia--Lambton,
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,110264,,FALSE,#N/A,#N/A,Toronto--St. Paul&apos;s,
24071,Salaberry--Suroît,Salaberry--Suroît,112826,,TRUE,203,203,Scarborough--Agincourt,
24072,Shefford,Shefford,111139,,TRUE,227,#N/A,Windsor-Ouest,
24073,Sherbrooke,Sherbrooke,111176,,TRUE,86,86,Outremont,
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,119227,,TRUE,228,#N/A,York-Centre,
24075,Terrebonne,Terrebonne,111575,,TRUE,134,134,Eglinton--Lawrence,
24076,Trois-Rivières,Trois-Rivières,110515,,TRUE,171,171,Mississauga--Lakeshore,
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,114659,,TRUE,172,172,Mississauga--Malton,
24078,Vimy,Vimy,111867,,TRUE,180,180,Nipissing--Timiskaming,
35001,Ajax,Ajax,119677,,TRUE,10,10,Egmont,
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,79483,,TRUE,8,8,Cardigan,
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill,115227,,TRUE,9,9,Charlottetown,
35004,Barrie--Innisfil,Barrie--Innisfil,109286,,TRUE,231,231,Humber River--Black Creek,
