ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION,,,,Pop Exist?,KML Districts,Refine
48009,Calgary Nose Hill,Calgary Nose Hill,115795,,TRUE,28,28,Miramichi--Grand Lake,
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,131823,,TRUE,29,29,Moncton--Riverview--Dieppe,
48011,Calgary Shepard,Calgary Shepard,147520,,TRUE,30,#N/A,Nouveau-Brunswick-Sud-Ouest,
48012,Calgary Signal Hill,Calgary Signal Hill,121392,,TRUE,31,31,Saint John--Rothesay,
48013,Calgary Skyview,Calgary Skyview,135730,,TRUE,32,32,Tobique--Mactaquac,
48014,Edmonton Centre,Edmonton-Centre,109941,,TRUE,294,294,Abbotsford,
48015,Edmonton Griesbach,Edmonton Griesbach,112287,,TRUE,323,#N/A,Surrey-Sud--White Rock,
48016,Edmonton Manning,Edmonton Manning,121048,,TRUE,73,73,Longueuil--Charles-LeMoyne,
48017,Edmonton Mill Woods,Edmonton Mill Woods,118561,,TRUE,74,74,Lévis--Lotbinière,
48018,Edmonton Riverbend,Edmonton Riverbend,120863,,TRUE,75,75,Longueuil--Saint-Hubert,
48019,Edmonton Strathcona,Edmonton Strathcona,106066,,TRUE,260,260,Banff--Airdrie,
48020,Edmonton West,Edmonton-Ouest,121869,,TRUE,261,261,Battle River--Crowfoot,
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,158749,,TRUE,262,262,Bow River,
48022,Foothills,Foothills,113227,,TRUE,282,282,Fort McMurray--Cold Lake,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,110230,,TRUE,283,283,Grande Prairie--Mackenzie,
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,117327,,TRUE,284,284,Lakeland,
48025,Lakeland,Lakeland,108451,,TRUE,285,285,Lethbridge,
48026,Lethbridge,Lethbridge,117394,,TRUE,286,286,Medicine Hat--Cardston--Warner,
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,106896,,TRUE,287,287,Peace River--Westlock,
48028,Peace River--Westlock,Peace River--Westlock,109965,,TRUE,288,288,Red Deer--Mountain View,
48029,Red Deer--Mountain View,Red Deer--Mountain View,119019,,TRUE,289,289,Red Deer--Lacombe,
48030,Red Deer--Lacombe,Red Deer--Lacombe,128786,,TRUE,290,290,St. Albert--Edmonton,
48031,St. Albert--Edmonton,St. Albert--Edmonton,121313,,TRUE,291,291,Sherwood Park--Fort Saskatchewan,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,122193,,TRUE,292,292,Sturgeon River--Parkland,
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,120784,,TRUE,293,293,Yellowhead,
48034,Yellowhead,Yellowhead,101979,,TRUE,295,#N/A,Burnaby-Nord--Seymour,
59001,Abbotsford,Abbotsford,101814,,TRUE,296,#N/A,Burnaby-Sud,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,102486,,TRUE,297,297,Cariboo--Prince George,
59003,Burnaby South,Burnaby-Sud,111973,,TRUE,298,298,Central Okanagan--Similkameen--Nicola,
59004,Cariboo--Prince George,Cariboo--Prince George,108907,,TRUE,299,299,Chilliwack--Hope,
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,110293,,TRUE,301,301,Coquitlam--Port Coquitlam,
59006,Chilliwack--Hope,Chilliwack--Hope,100126,,TRUE,302,302,Courtenay--Alberni,
59007,Cloverdale--Langley City,Cloverdale--Langley City,117640,,TRUE,302,302,Courtenay--Alberni,
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,123576,,TRUE,303,303,Cowichan--Malahat--Langford,
59009,Courtenay--Alberni,Courtenay--Alberni,114647,,TRUE,306,306,Kamloops--Thompson--Cariboo,
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,108052,,TRUE,307,307,Kelowna--Lake Country,
59011,Delta,Delta,103064,,TRUE,308,308,Kootenay--Columbia,
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,116958,,TRUE,76,76,Louis-Hébert,
59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,124358,,TRUE,77,77,Louis-Saint-Laurent,
59014,Kelowna--Lake Country,Kelowna--Lake Country,119388,,FALSE,#N/A,#N/A,Mégantic--L&apos;Érable,
59015,Kootenay--Columbia,Kootenay--Columbia,112354,,TRUE,80,80,Mirabel,
59016,Langley--Aldergrove,Langley--Aldergrove,117017,,TRUE,89,89,Pontiac,
59017,Mission--Matsqui--Fraser Canyon,Mission--Matsqui--Fraser Canyon,94825,,TRUE,90,90,Portneuf--Jacques-Cartier,
59018,Nanaimo--Ladysmith,Nanaimo--Ladysmith,122710,,TRUE,88,88,Pierrefonds--Dollard,
59019,New Westminster--Burnaby,New Westminster--Burnaby,115340,,TRUE,91,91,Québec,
59020,North Okanagan--Shuswap,North Okanagan--Shuswap,124605,,TRUE,300,300,Cloverdale--Langley City,
59021,North Vancouver,North Vancouver,115344,,TRUE,304,304,Delta,
59022,Pitt Meadows--Maple Ridge,Pitt Meadows--Maple Ridge,101101,,TRUE,305,305,Fleetwood--Port Kells,
59023,Port Moody--Coquitlam,Port Moody--Coquitlam,110817,,TRUE,81,81,Montarville,
59024,Prince George--Peace River--Northern Rockies,Prince George--Peace River--Northern Rockies,110995,,TRUE,82,82,Montcalm,
59025,Richmond Centre,Richmond-Centre,98396,,FALSE,#N/A,#N/A,Montmagny--L&apos;Islet--Kamouraska--Rivière-du-Loup,
59026,Esquimalt--Saanich--Sooke,Esquimalt--Saanich--Sooke,120834,,TRUE,84,#N/A,Mont-Royal,
59027,Saanich--Gulf Islands,Saanich--Gulf Islands,107339,,TRUE,85,85,Notre-Dame-de-Grâce--Westmount,
59028,Skeena--Bulkley Valley,Skeena--Bulkley Valley,88920,,TRUE,92,92,Repentigny,
59029,South Okanagan--West Kootenay,Okanagan-Sud--Kootenay-Ouest,114695,,TRUE,93,93,Richmond--Arthabaska,
59030,South Surrey--White Rock,Surrey-Sud--White Rock,104051,,TRUE,94,94,Rivière-des-Mille-Îles,
59031,Steveston--Richmond East,Steveston--Richmond-Est,99913,,TRUE,95,95,Rivière-du-Nord,
59032,Surrey Centre,Surrey-Centre,120172,,TRUE,87,87,Papineau,
59033,Surrey--Newton,Surrey--Newton,114605,,TRUE,309,309,Langley--Aldergrove,
59034,Vancouver Centre,Vancouver-Centre,116443,,TRUE,310,310,Mission--Matsqui--Fraser Canyon,
59035,Vancouver East,Vancouver-Est,115724,,TRUE,312,312,New Westminster--Burnaby,
59036,Vancouver Granville,Vancouver Granville,103456,,TRUE,313,313,North Okanagan--Shuswap,
59037,North Island--Powell River,North Island--Powell River,105466,,TRUE,314,314,North Vancouver,
59038,Vancouver Kingsway,Vancouver Kingsway,104870,,TRUE,315,315,Pitt Meadows--Maple Ridge,
59039,Vancouver Quadra,Vancouver Quadra,105608,,TRUE,97,97,Marc-Aurèle-Fortin,
59040,Vancouver South,Vancouver-Sud,102927,,TRUE,98,98,Saint-Hyacinthe--Bagot,
59041,Victoria,Victoria,117133,,TRUE,99,99,Saint-Jean,
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,119113,,TRUE,96,96,Rosemont--La Petite-Patrie,
60001,Yukon,Yukon,35874,,TRUE,101,101,Saint-Léonard--Saint-Michel,
61001,Northwest Territories,Territoires du Nord-Ouest,41786,,TRUE,102,102,Saint-Maurice--Champlain,
62001,Nunavut,Nunavut,35944,,TRUE,103,103,Salaberry--Suroît,
,,,,,TRUE,104,104,Shefford,
,,,,,TRUE,100,100,Saint-Laurent,
,,,,,TRUE,105,105,Sherbrooke,
,,,,,TRUE,107,107,Terrebonne,
,,,,,TRUE,108,108,Trois-Rivières,
,,,,,TRUE,109,109,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,
,,,,,TRUE,110,110,Vimy,
,,,,,TRUE,111,111,Ajax,
,,,,,TRUE,112,112,Algoma--Manitoulin--Kapuskasing,
